"Variable","Valor_normalizado"
"COBERTURA_BRUTA_TRANSICIÓN",0.157668466306739
"COBERTURA_BRUTA_PRIMARIA",0.304822469528352
"COBERTURA_BRUTA_SECUNDARIA",0.351519477870691
"COBERTURA_BRUTA_MEDIA",0.4392138063279
"DESERCIÓN",0.428399518652226
"DESERCIÓN_TRANSICIÓN",0.684873949579832
"DESERCIÓN_PRIMARIA",0.408831908831909
"DESERCIÓN_SECUNDARIA",0.380281690140845
"DESERCIÓN_MEDIA",0.311242603550296
"APROBACIÓN",0.521193092621664
"APROBACIÓN_PRIMARIA",0.64145324597975
"APROBACIÓN_SECUNDARIA",0.511427625041404
"APROBACIÓN_MEDIA",0.663561643835616
"REPROBACIÓN",0.371675531914894
"REPROBACIÓN_PRIMARIA",0.24901185770751
"REPROBACIÓN_SECUNDARIA",0.436219155165203
"REPROBACIÓN_MEDIA",0.2808
"REPITENCIA",0.491559086395233
"REPITENCIA_TRANSICIÓN",0.885714285714286
"REPITENCIA_PRIMARIA",0.345070422535211
"REPITENCIA_SECUNDARIA",0.636234961075725
"REPITENCIA_MEDIA",0.165413533834586
"POBLACIÓN_5_16",0.408578150363314
"TASA_MATRICULACIÓN_5_16",0.605071071840184
"COBERTURA_NETA",0.628384545177974
"COBERTURA_NETA_TRANSICIÓN",0.587297297297297
"COBERTURA_NETA_PRIMARIA",0.621362091889496
"COBERTURA_NETA_SECUNDARIA",0.674161896974653
"COBERTURA_NETA_MEDIA",0.666180332652466
"COBERTURA_BRUTA",0.556952570646085
"COBERTURA_BRUTA_TRANSICIÓN",0.509198160367926
"COBERTURA_BRUTA_PRIMARIA",0.516587175410705
"COBERTURA_BRUTA_SECUNDARIA",0.575769936773404
"COBERTURA_BRUTA_MEDIA",0.588686481303931
"DESERCIÓN",0.383874849578821
"DESERCIÓN_TRANSICIÓN",0.399159663865546
"DESERCIÓN_PRIMARIA",0.408831908831909
"DESERCIÓN_SECUNDARIA",0.32306338028169
"DESERCIÓN_MEDIA",0.297041420118343
"APROBACIÓN",0.487702773417059
"APROBACIÓN_PRIMARIA",0.597379392495533
"APROBACIÓN_SECUNDARIA",0.483935077840345
"APROBACIÓN_MEDIA",0.684383561643835
"REPROBACIÓN",0.439494680851064
"REPROBACIÓN_PRIMARIA",0.307509881422925
"REPROBACIÓN_SECUNDARIA",0.497699707235466
"REPROBACIÓN_MEDIA",0.26
"REPITENCIA",0.794438927507448
"REPITENCIA_TRANSICIÓN",0.387755102040816
"REPITENCIA_PRIMARIA",0.72635814889336
"REPITENCIA_SECUNDARIA",0.794762915782024
"REPITENCIA_MEDIA",0.859022556390977
"POBLACIÓN_5_16",0.0184838061960485
"TASA_MATRICULACIÓN_5_16",0.167499039569727
"COBERTURA_NETA",0.108913903255248
"COBERTURA_NETA_TRANSICIÓN",0.557972972972973
"COBERTURA_NETA_PRIMARIA",0.245531097651056
"COBERTURA_NETA_SECUNDARIA",0.15903515944399
"COBERTURA_NETA_MEDIA",0.319521447330026
"COBERTURA_BRUTA",0.0785509772189717
"COBERTURA_BRUTA_TRANSICIÓN",0.414017196560688
"COBERTURA_BRUTA_PRIMARIA",0.185585585585585
"COBERTURA_BRUTA_SECUNDARIA",0.0136651029981644
"COBERTURA_BRUTA_MEDIA",0.23039309683605
"DESERCIÓN",0.601684717208183
"DESERCIÓN_TRANSICIÓN",0.656512605042017
"DESERCIÓN_PRIMARIA",0.364672364672365
"DESERCIÓN_SECUNDARIA",0.782570422535211
"DESERCIÓN_MEDIA",0.563313609467456
"APROBACIÓN",0.444270015698587
"APROBACIÓN_PRIMARIA",0.694460988683741
"APROBACIÓN_SECUNDARIA",0.190460417356741
"APROBACIÓN_MEDIA",0.73917808219178
"REPROBACIÓN",0.374335106382979
"REPROBACIÓN_PRIMARIA",0.202371541501976
"REPROBACIÓN_SECUNDARIA",0.65077373483898
"REPROBACIÓN_MEDIA",0
"REPITENCIA",0.559086395233366
"REPITENCIA_TRANSICIÓN",0
"REPITENCIA_PRIMARIA",0.387323943661972
"REPITENCIA_SECUNDARIA",0.943382873319179
"REPITENCIA_MEDIA",0
"POBLACIÓN_5_16",0.644233387180055
"TASA_MATRICULACIÓN_5_16",0.587014982712255
"COBERTURA_NETA",0.607240644965014
"COBERTURA_NETA_TRANSICIÓN",0.609324324324324
"COBERTURA_NETA_PRIMARIA",0.604963805584281
"COBERTURA_NETA_SECUNDARIA",0.610248023984737
"COBERTURA_NETA_MEDIA",0.592792529909542
"COBERTURA_BRUTA",0.560811651935765
"COBERTURA_BRUTA_TRANSICIÓN",0.48500299940012
"COBERTURA_BRUTA_PRIMARIA",0.548595654478007
"COBERTURA_BRUTA_SECUNDARIA",0.565572098715072
"COBERTURA_BRUTA_MEDIA",0.558197507190796
"DESERCIÓN",0.389891696750903
"DESERCIÓN_TRANSICIÓN",0.332983193277311
"DESERCIÓN_PRIMARIA",0.538461538461538
"DESERCIÓN_SECUNDARIA",0.268485915492958
"DESERCIÓN_MEDIA",0.195266272189349
"APROBACIÓN",0.476713762428048
"APROBACIÓN_PRIMARIA",0.455628350208457
"APROBACIÓN_SECUNDARIA",0.566081483935078
"APROBACIÓN_MEDIA",0.513972602739726
"REPROBACIÓN",0.449468085106383
"REPROBACIÓN_PRIMARIA",0.423715415019763
"REPROBACIÓN_SECUNDARIA",0.420326223337516
"REPROBACIÓN_MEDIA",0.5776
"REPITENCIA",0.597815292949355
"REPITENCIA_TRANSICIÓN",0.710204081632653
"REPITENCIA_PRIMARIA",0.559356136820926
"REPITENCIA_SECUNDARIA",0.612172682236377
"REPITENCIA_MEDIA",0.56203007518797
"POBLACIÓN_5_16",0.140379367820214
"TASA_MATRICULACIÓN_5_16",0.40081956716609
"COBERTURA_NETA",0.386066321874049
"COBERTURA_NETA_TRANSICIÓN",0.454459459459459
"COBERTURA_NETA_PRIMARIA",0.401684148323238
"COBERTURA_NETA_SECUNDARIA",0.453120741346416
"COBERTURA_NETA_MEDIA",0.570761599066239
"COBERTURA_BRUTA",0.348562181003361
"COBERTURA_BRUTA_TRANSICIÓN",0.414817036592681
"COBERTURA_BRUTA_PRIMARIA",0.3413884472708
"COBERTURA_BRUTA_SECUNDARIA",0.351825413012441
"COBERTURA_BRUTA_MEDIA",0.490316395014382
"DESERCIÓN",0.311672683513839
"DESERCIÓN_TRANSICIÓN",0.466386554621849
"DESERCIÓN_PRIMARIA",0.196581196581197
"DESERCIÓN_SECUNDARIA",0.370598591549296
"DESERCIÓN_MEDIA",0.181065088757396
"APROBACIÓN",0.579277864992151
"APROBACIÓN_PRIMARIA",0.721262656343061
"APROBACIÓN_SECUNDARIA",0.537595230208678
"APROBACIÓN_MEDIA",0.608767123287671
"REPROBACIÓN",0.361702127659575
"REPROBACIÓN_PRIMARIA",0.261660079051383
"REPROBACIÓN_SECUNDARIA",0.407779171894605
"REPROBACIÓN_MEDIA",0.4488
"REPITENCIA",0.540218470705065
