"Fila","Mahalanobis"
637,23.2720690768473
638,42.4165597548148
639,15.4403321852862
640,11.3777463689067
641,16.9334601230338
642,22.5717462903502
643,18.5035038889717
644,48.4079600030669
645,73.6130337975481
646,8.36918766355401
647,24.1311918084276
648,45.563749629503
649,34.6631862694851
650,33.2864726670513
651,34.2786056770092
652,28.6286049029397
653,14.3032713765342
654,35.1256399527914
655,23.9678179645646
656,21.6821427427439
657,10.2048805119464
658,40.159932162623
659,21.8557558653543
660,39.8152475500829
661,29.6835708994351
662,24.8311010969601
663,44.1952716641019
664,66.6489626063292
665,55.1446117099135
666,30.1279361623642
667,28.5876041129515
668,23.1752326348598
669,60.76035207509
670,21.6103197001825
671,9.59115404385794
672,45.9511682020525
673,33.3444149471835
674,60.8988889548288
675,22.6337974059189
676,24.8708398928786
677,30.9108235411721
678,34.0682698789278
679,27.4136373681888
680,39.6104483328051
681,14.6572909135513
682,15.7480146380892
683,39.5325305141871
684,41.6104721710344
685,29.6265426259712
686,37.2877994944934
687,26.8462346945919
688,47.386046147111
689,46.5510860144769
690,31.9359076344577
691,59.6263319025319
692,53.7331436666683
693,95.8819657187538
694,87.0662225893114
695,70.2111365463503
696,34.1717246005142
697,43.9119712902877
698,22.9525256198868
699,15.8003239133675
700,47.8417103580503
701,35.2085398132819
702,30.5905242826741
703,25.1512789345119
704,24.9701031360046
705,40.9940981347649
706,32.4527790357792
707,42.4672419843544
708,27.5477597067719
709,25.6217545372582
710,18.9731575726924
711,32.1508357696592
712,20.9449943453656
713,15.642585357648
714,21.2553987205981
715,29.8484112999102
716,44.9160593707151
717,21.6700357809981
718,21.3529257582347
719,14.7468087150682
720,21.2314451270988
721,32.1904228659394
722,39.6080688861599
723,27.5687974626646
724,55.1186358870502
725,22.191121210699
726,32.3522919726242
727,27.8663523179868
728,25.3333999999843
729,19.9833305330304
730,21.734410718635
731,36.1476015314362
732,31.1771403693018
733,26.8464670377355
734,29.5102912786318
735,35.7614507060811
736,18.0981535553534
737,29.3098515730602
738,33.4667639392013
739,32.5516926443208
740,23.0814144546546
741,16.777608010441
742,53.9569060310395
743,31.1053421474318
744,32.609469878232
745,33.2369619585881
746,43.0328435396222
747,32.1480186088776
748,37.5391019422372
749,38.4419821246826
750,19.5327781850469
751,34.2086356465598
752,34.9445920724749
753,32.610677364757
754,45.8084831426451
755,35.4052434199549
756,28.813095621613
757,18.2085726490523
758,23.2478397081969
759,24.0406658700209
760,47.1056721462035
761,41.9605685077969
762,23.1640874273064
763,21.4784609387168
764,25.5924239630693
765,37.876742306502
766,22.7895428262552
767,14.8081000899171
768,32.8152334575588
769,24.5694573654253
770,23.1448781754147
771,39.274895373826
772,25.5000563170927
773,21.4567669414713
774,23.7821319627491
775,29.0058484896463
776,21.7519171076381
777,45.2919073749939
778,34.1663947539441
779,34.4880358388317
780,25.4316491345936
781,18.5151275699585
782,43.7696593268814
783,30.0980012682407
784,16.1021090670259
785,25.1910598483504
786,22.7410102091422
787,23.5430910955493
788,35.6596457054149
789,17.5208332506215
790,19.2647224425807
791,23.1499164747387
792,21.3352231271178
793,27.3984548010831
794,18.9995657186758
795,29.0774495254339
796,27.911804707743
797,12.697060361413
798,29.8487330645863
799,19.8408236676442
800,19.3470119610627
801,17.191873863403
802,35.6680428923276
803,28.0947338365665
804,19.0815339548129
805,16.291364541861
806,22.9932690072452
807,24.5081178028686
808,27.1707651150015
809,23.9398196597288
810,45.9405746011625
811,29.0751866033261
812,29.7052208688849
813,22.1415296298224
814,40.8397362477043
815,25.2708046204653
816,23.7155217002195
817,29.8166518687997
