"","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"COBERTURA_BRUTA_SECUNDARIA",-0.00660262614185358,0.735749889897778,0.774610146106395,0.337286834539801,0.573467233210716,0.780882155143629,0.461877834692852,0.871851204535382,0.426048575746376,0.48619868884814,1,0.674855420259339,0.0267637650704284,0.0664365925459898,0.00573963569592956,0.00565447978902145,0.0161330263711172,-0.0337365445881018,0.0160285149505464,-0.0298693508155056,-0.0572769938283821,0.0264906075749993,-0.0225606023400911,0.0319075899240542,0.0598623689909145,0.000844453313513062,-0.00326546550593178,-0.027075179069276,0.00892558630214083,0.0278446957772204
"COBERTURA_BRUTA_MEDIA",-0.0968516635752976,0.4898911617912,0.515157240992343,0.24988773442462,0.307863108090553,0.648270329885344,0.722642942755356,0.602999494846371,0.237625706637936,0.134013452417237,0.674855420259339,1,-0.114638152045851,-0.0349750268906876,-0.128850430465099,-0.119851936348766,-0.0669421941233986,-0.00966586159236902,0.0577226234554128,-0.0227543724550079,-0.0444797554206445,0.070628873393976,0.000413112276071394,0.0824135078279686,0.0957176601907569,0.0553957016667068,0.0167538852264631,0.0298044859299147,0.0675597512560543,0.0769548033153122
"DESERCIÓN",0.196934461258011,0.0741060773166661,0.0692055940639535,0.0615944519303508,0.0902133525849038,-0.0812272532197535,-0.197431150841334,0.0902602651201951,0.0832153411936118,0.1811640286501,0.0267637650704284,-0.114638152045851,1,0.599207445608749,0.864529019054708,0.903945464326327,0.644407608055119,-0.561333099196487,-0.548304292775551,-0.462538082739006,-0.429216730731114,0.154529775436029,0.192625951090788,0.11223710755188,0.124389741137278,0.0454939312116949,0.0335903204058104,0.0689948966703846,0.0186961348618299,0.0305921742043657
"DESERCIÓN_TRANSICIÓN",0.120411359664126,0.066907467500219,0.0700444991215479,0.0095811721043029,0.0804984726763422,-0.0203623470546343,-0.119882616565347,0.0923645274415706,0.0896828279327233,0.119724730109074,0.0664365925459898,-0.0349750268906876,0.599207445608749,1,0.557054426522167,0.418968390143243,0.267872557717687,-0.334200553548698,-0.341302722186026,-0.225550037448474,-0.206756967583241,0.0900211695069729,0.109577906397059,0.0649354095139584,0.0862513027104316,-0.0419268908306443,0.0103705890214314,-0.019533222703801,-0.0534433540214669,-0.0289376245121008
"DESERCIÓN_PRIMARIA",0.241518175725031,0.0765829116767231,0.0708955506505086,0.0550497758350587,0.0859939771260026,-0.12990175198594,-0.228242750256184,0.105541571639768,0.111339093138112,0.22722961092538,0.00573963569592956,-0.128850430465099,0.864529019054708,0.557054426522167,1,0.606118967506588,0.412621685881213,-0.461700531418917,-0.580181395921196,-0.2987786139504,-0.285976667752929,0.105413856185681,0.157277730024355,0.0621049085408884,0.0932268048303894,0.0135372092285008,0.027232752570766,0.0538363678894355,-0.0217058904113829,0.00522188584804743
"DESERCIÓN_SECUNDARIA",0.13916045536915,0.0553523592145584,0.0489701568922766,0.0569126987682472,0.0873242392166617,-0.0676730165324348,-0.168795121278534,0.0561257068032341,0.0480633745354151,0.142712474919339,0.00565447978902145,-0.119851936348766,0.903945464326327,0.418968390143243,0.606118967506588,1,0.580353421519212,-0.528016357189999,-0.434052649558138,-0.515521963457036,-0.388098416852473,0.164296305379098,0.195242919608197,0.128602017903989,0.113923759199498,0.0681564207120005,0.0399454060988336,0.0795322440510031,0.0508395227112089,0.0284068068356326
"DESERCIÓN_MEDIA",0.101110052404152,0.0339720549712821,0.033065068696548,0.0332956043302441,0.059337630154269,-0.0358844041941871,-0.116165019994201,0.0435318390809684,0.0433719018859244,0.0889575390812005,0.0161330263711172,-0.0669421941233986,0.644407608055119,0.267872557717687,0.412621685881213,0.580353421519212,1,-0.334647189229632,-0.254127069864138,-0.273450115279794,-0.576790859879528,0.0672566046480919,0.0827571523991847,0.0448506861423852,0.0841438307861309,0.0144883608742223,0.0124154006552987,0.0262819297998489,-0.00713815257700203,0.0701893663944347
"APROBACIÓN",-0.0181029117184001,-0.081208870643164,-0.0612725851938009,-0.103477995343018,-0.0958396929290664,-0.0491302027159201,0.040331461913982,-0.0383446679767127,-0.0321979421790922,-0.0336031612663379,-0.0337365445881018,-0.00966586159236902,-0.561333099196487,-0.334200553548698,-0.461700531418917,-0.528016357189999,-0.334647189229632,1,0.875726763765512,0.939510635734186,0.707411334285125,-0.904390760161256,-0.809614116377682,-0.840205459832478,-0.655613502852204,-0.19130243985187,0.00095574260488259,-0.200909190677404,-0.159134593259395,-0.11071733332619
"APROBACIÓN_PRIMARIA",-0.0695141715203483,-0.0708003669694898,-0.0470297497314325,-0.0737033386059185,-0.0945881730583717,0.058001400534662,0.143833345460209,-0.0462637679932257,-0.052766251602331,-0.113402635893316,0.0160285149505464,0.0577226234554128,-0.548304292775551,-0.341302722186026,-0.580181395921196,-0.434052649558138,-0.254127069864138,0.875726763765512,1,0.681926205192521,0.504616542817104,-0.762748649017233,-0.895599201351662,-0.586074097381618,-0.458110318202579,-0.145491206755098,-0.000701629483929288,-0.206410262440308,-0.0812188036797798,-0.0494501678735417
"APROBACIÓN_SECUNDARIA",0.0262054556780809,-0.0673750195913754,-0.048304511332161,-0.111102957626005,-0.0851804810096491,-0.079858882836449,-0.0103707049820816,-0.0139974055460148,-0.0207905739076687,0.0128145121371233,-0.0298693508155056,-0.0227543724550079,-0.462538082739006,-0.225550037448474,-0.2987786139504,-0.515521963457036,-0.273450115279794,0.939510635734186,0.681926205192521,1,0.653719270634082,-0.883118506001053,-0.66361158482108,-0.916057960608685,-0.628032645206385,-0.200376464470227,0.000513575843823715,-0.181194883782396,-0.192371169207562,-0.11949060681147
"APROBACIÓN_MEDIA",-0.0506134638265285,-0.0848832322398662,-0.0770036415105248,-0.0997389073532724,-0.11224491102947,-0.0755454109943898,-0.000931822057293567,-0.0580125985941414,-0.0613568581481368,-0.0331723516494267,-0.0572769938283821,-0.0444797554206445,-0.429216730731114,-0.206756967583241,-0.285976667752929,-0.388098416852473,-0.576790859879528,0.707411334285125,0.504616542817104,0.653719270634082,1,-0.623208619982059,-0.455615666247387,-0.574938137107476,-0.862527350940868,-0.116401845350878,-0.00784493553963734,-0.107922382860072,-0.0981916509724883,-0.14628867139244
"REPROBACIÓN",-0.0799390944700369,0.0587267898790262,0.0374439511201637,0.0917421744074054,0.0678800368589735,0.100516892130584,0.0536204112465278,-0.000767928338309607,-0.00448256009663121,-0.0533046902822149,0.0264906075749993,0.070628873393976,0.154529775436029,0.0900211695069729,0.105413856185681,0.164296305379098,0.0672566046480919,-0.904390760161256,-0.762748649017233,-0.883118506001053,-0.623208619982059,1,0.867220689968257,0.945174050496006,0.718535297235198,0.204910954483747,-0.0184559536901384,0.204254170146589,0.180332952252207,0.116409542539741
"REPROBACIÓN_PRIMARIA",-0.0476548020561464,0.0440168530879897,0.018308579288368,0.0592911703953682,0.067728380118698,0.000623210287214331,-0.0497311805432695,-0.00153138982913334,0.0031804622880273,0.0134073423714792,-0.0225606023400911,0.000413112276071394,0.192625951090788,0.109577906397059,0.157277730024355,0.195242919608197,0.0827571523991847,-0.809614116377682,-0.895599201351662,-0.66361158482108,-0.455615666247387,0.867220689968257,1,0.6766495566408,0.504498621283085,0.169016100761494,-0.014025027972333,0.220872751762663,0.110335459645875,0.0571041834873484
"REPROBACIÓN_SECUNDARIA",-0.0954631521948975,0.0520593513690486,0.0329654817350815,0.101943633914129,0.0576895997281629,0.12408940647467,0.0909958303389135,-0.0100890231313847,0.00156711359946674,-0.0816447595028747,0.0319075899240542,0.0824135078279686,0.11223710755188,0.0649354095139584,0.0621049085408884,0.128602017903989,0.0448506861423852,-0.840205459832478,-0.586074097381618,-0.916057960608685,-0.574938137107476,0.945174050496006,0.6766495566408,1,0.673533681021305,0.200036307098869,-0.0192814877098004,0.172513124804495,0.198872132861542,0.12501489909183
"REPROBACIÓN_MEDIA",-0.000880350100694568,0.0824627983509859,0.0734276423755519,0.101008665715002,0.100126072128891,0.114382215543944,0.073124636376055,0.0437709734765039,0.0479656132854669,-0.0146793016656849,0.0598623689909145,0.0957176601907569,0.124389741137278,0.0862513027104316,0.0932268048303894,0.113923759199498,0.0841438307861309,-0.655613502852204,-0.458110318202579,-0.628032645206385,-0.862527350940868,0.718535297235198,0.504498621283085,0.673533681021305,1,0.133040870400585,0.00190512830809588,0.115385846001701,0.124224549081744,0.135016712632214
"REPITENCIA",-0.0354927491256457,0.0341695020103922,-0.00158335960407,0.0741598942940627,-0.0256562325476707,0.0949534615387467,0.125804695161192,-0.0505634682595878,-0.00833981434587559,-0.123074114263036,0.000844453313513062,0.0553957016667068,0.0454939312116949,-0.0419268908306443,0.0135372092285008,0.0681564207120005,0.0144883608742223,-0.19130243985187,-0.145491206755098,-0.200376464470227,-0.116401845350878,0.204910954483747,0.169016100761494,0.200036307098869,0.133040870400585,1,0.349310000059928,0.912207233689717,0.9394795054093,0.667345150841829
"REPITENCIA_TRANSICIÓN",0.136865554747615,0.0344248920335471,0.017300377040912,-0.0333584272088855,0.00315486103527662,-0.00252290075637882,0.00700238313752629,0.0205783430395179,0.0715258752040524,0.0199173379270615,-0.00326546550593178,0.0167538852264631,0.0335903204058104,0.0103705890214314,0.027232752570766,0.0399454060988336,0.0124154006552987,0.00095574260488259,-0.000701629483929288,0.000513575843823715,-0.00784493553963734,-0.0184559536901384,-0.014025027972333,-0.0192814877098004,0.00190512830809588,0.349310000059928,1,0.327689795921064,0.293695600668537,0.22120490253794
"REPITENCIA_PRIMARIA",-0.0123104193033804,0.0240406300678059,-0.00923526710712443,0.0637216005341498,-0.022393155726484,0.0362193373756324,0.076081124688714,-0.0472473765163687,-0.00391030989223394,-0.0845676310606198,-0.027075179069276,0.0298044859299147,0.0689948966703846,-0.019533222703801,0.0538363678894355,0.0795322440510031,0.0262819297998489,-0.200909190677404,-0.206410262440308,-0.181194883782396,-0.107922382860072,0.204254170146589,0.220872751762663,0.172513124804495,0.115385846001701,0.912207233689717,0.327689795921064,1,0.727769343198033,0.511240013760494
"REPITENCIA_SECUNDARIA",-0.0610260993352503,0.0307642609209879,-0.00294155260513272,0.0811013178456311,-0.0282645528184121,0.121102609653837,0.15438935855736,-0.0567297763271583,-0.00701943642451766,-0.145361308168061,0.00892558630214083,0.0675597512560543,0.0186961348618299,-0.0534433540214669,-0.0217058904113829,0.0508395227112089,-0.00713815257700203,-0.159134593259395,-0.0812188036797798,-0.192371169207562,-0.0981916509724883,0.180332952252207,0.110335459645875,0.198872132861542,0.124224549081744,0.9394795054093,0.293695600668537,0.727769343198033,1,0.638463873854851
"REPITENCIA_MEDIA",0.0128761559543864,0.0445957670465117,0.0196014475467029,0.053264228478839,-0.00637483960951756,0.0998381449843486,0.122846934225117,-0.0103797538318148,0.0168851460898997,-0.081832533900764,0.0278446957772204,0.0769548033153122,0.0305921742043657,-0.0289376245121008,0.00522188584804743,0.0284068068356326,0.0701893663944347,-0.11071733332619,-0.0494501678735417,-0.11949060681147,-0.14628867139244,0.116409542539741,0.0571041834873484,0.12501489909183,0.135016712632214,0.667345150841829,0.22120490253794,0.511240013760494,0.638463873854851,1
